Lp.	p1.1	p1.2	p1.3	p1.4	p1.5	p1.6	p1.7	p1.8	p2.1	p2.2	p2.3	p2.4	p2.5	p2.6	p2.7	p2.8	p3.1	p3.2	p3.3	p3.4	p3.5	p3.6	p3.7	p3.8	p4.1	p4.2	p4.3	p4.4	p4.5	p4.6	p4.7	p4.8	p5.1	p5.2	p5.3	p5.4	p5.5	p5.6	p5.7	p5.8	p6.1	p6.2	p6.3	p6.4	p6.5	p6.6	p6.7	p6.8	p7.1	p7.2	p7.3	p7.4	p7.5	p7.6	p7.7	p7.8	p8.1	p8.2	p8.3	p8.4	p8.5	p8.6	p8.7	p8.8	p9.1	p9.2	p9.3	p9.4	p9.5	p9.6	p9.7	p9.8	p10.1	p10.2	p10.3	p10.4	p10.5	p10.6	p10.7	p10.8	Klasa
1	152	255	0	0	184	0	255	255	215	0	255	255	255	255	163	255	0	255	255	255	255	255	255	113	13	34	255	255	255	255	255	0	0	3	255	255	255	255	108	88	0	255	183	255	255	125	139	0	61	87	255	231	255	255	205	0	0	13	255	78	116	255	255	0	255	0	255	255	255	227	0	158	255	255	0	5	0	0	156	255	O
2	255	62	77	80	0	0	255	255	255	0	255	255	255	255	0	255	50	255	255	193	94	255	255	168	19	255	255	255	255	255	255	233	0	28	255	255	255	12	66	0	0	255	255	255	255	29	23	9	236	247	25	179	255	104	255	0	0	255	131	54	203	148	255	37	255	118	171	255	98	255	0	255	255	255	0	0	179	253	66	30	O
3	240	47	199	0	0	0	208	56	102	0	122	255	3	255	144	230	0	255	194	255	255	255	255	0	0	186	173	37	28	49	200	0	230	255	10	39	255	186	36	0	0	255	164	31	255	255	255	0	0	57	255	255	159	255	53	0	68	255	187	196	56	198	255	61	255	0	176	255	255	255	0	216	255	252	0	85	0	188	212	76	O
4	255	107	0	0	173	231	154	181	150	0	81	61	184	255	0	114	186	216	47	255	255	37	255	0	0	255	255	255	255	195	255	113	249	5	255	67	94	253	204	163	0	255	255	255	71	3	255	0	98	150	168	187	255	81	40	0	0	255	255	6	109	102	200	172	188	109	255	255	127	200	32	178	131	255	0	229	238	231	153	224	O
5	118	255	48	143	88	0	36	255	132	85	255	56	215	255	173	255	0	255	255	155	163	255	205	0	71	255	183	237	238	255	76	0	245	139	16	210	56	194	65	255	0	26	50	230	234	107	28	0	214	255	50	225	214	230	255	0	94	169	167	48	123	23	68	26	236	0	194	234	80	255	0	37	255	255	92	0	84	124	146	221	O
6	7	255	0	0	0	165	0	226	231	0	255	255	255	175	255	0	0	255	255	255	255	255	255	9	145	46	255	255	255	255	255	255	255	0	255	156	255	251	102	255	60	109	0	178	59	0	0	255	255	255	255	255	74	255	255	0	255	74	255	255	90	255	255	194	0	233	255	56	255	255	0	255	255	0	157	184	65	0	255	255	S
7	48	255	0	0	0	227	0	17	255	218	255	155	175	255	89	0	231	197	228	255	193	255	16	255	0	255	76	83	255	255	89	255	29	0	69	255	158	255	255	191	255	217	69	104	0	178	0	61	255	255	255	255	255	255	255	0	194	255	171	255	180	255	255	0	0	255	255	100	255	255	181	255	255	0	0	84	0	0	35	60	S
8	96	255	174	239	171	0	0	179	195	232	255	255	255	255	255	0	69	71	131	17	255	255	252	255	0	160	255	235	20	190	228	8	255	0	235	255	255	64	255	255	255	33	0	33	0	0	0	2	251	255	6	90	255	29	255	191	170	255	255	165	60	255	255	228	0	72	48	226	212	255	0	255	132	78	0	246	0	23	255	255	S
9	93	206	46	0	76	44	117	255	255	0	255	255	255	238	255	69	0	193	255	2	255	155	146	255	0	255	255	255	255	163	62	255	74	49	214	255	255	42	16	255	255	119	0	25	212	108	69	205	255	205	255	145	69	139	255	243	173	100	115	255	233	133	255	0	123	9	19	92	108	255	0	17	24	0	108	138	0	229	242	40	S
10	185	19	0	42	116	0	4	255	102	37	255	41	248	6	116	77	85	79	88	79	223	255	255	255	42	118	116	89	255	255	252	94	162	173	219	30	78	171	56	17	224	117	81	61	0	252	178	255	244	242	215	255	255	255	140	0	255	255	202	255	38	255	18	0	58	106	236	255	131	105	0	96	255	52	89	0	224	169	34	98	S
